,Probability Words,Relevance Words,Saliency Words,Probability Scores,Relevance Scores,Saliency Scores
0,time,state,state,0.01,0.94,0.28
1,state,time,time,0.01,0.92,0.24
2,system,states,simulation,0.00,0.91,0.15
3,rate,simulation,states,0.00,0.91,0.15
4,simulation,transition,system,0.00,0.90,0.14
