,Probability Words,Relevance Words,Saliency Words,Probability Scores,Relevance Scores,Saliency Scores
0,snp,snp,snp,0.01,0.97,0.56
1,snps,snps,snps,0.01,0.96,0.44
2,type,plo,plo,0.01,0.95,0.35
3,plo,allele,population,0.01,0.94,0.26
4,population,population,allele,0.01,0.93,0.25
