,document,topic,distr
26,1996\43_main_body.txt,0,"[9.99999954e-01 3.58462633e-09 4.08552569e-09 3.82368811e-09
 3.69888406e-09 4.10207029e-09 4.60559621e-09 4.37173402e-09
 4.32320747e-09 4.04596663e-09 3.89400629e-09 2.82745930e-09]"
27,1996\44_main_body.txt,0,"[9.99999997e-01 7.02073278e-26 8.01986902e-26 7.44807266e-26
 7.21634436e-26 7.99476154e-26 9.10610049e-26 8.45233293e-26
 8.36782692e-26 7.93152030e-26 7.58896161e-26 5.50610486e-26]"
28,1996\45_main_body.txt,0,"[8.90106338e-01 4.33407612e-04 5.35900421e-04 4.34005927e-04
 4.32317121e-04 5.41131845e-04 5.67598221e-04 4.87676460e-04
 5.33108338e-04 5.45842636e-04 4.52243425e-04 5.20140997e-06]"
29,1996\47_main_body.txt,0,"[9.94283650e-001 6.66026046e-148 7.60401255e-148 7.05671976e-148
 6.86402158e-148 7.66951123e-148 8.64680023e-148 7.99180083e-148
 8.01083993e-148 7.54667542e-148 7.16616536e-148 6.82263966e-150]"
30,1996\50_main_body.txt,0,"[9.99999874e-01 1.01587907e-08 1.16795292e-08 1.07569985e-08
 1.03967990e-08 1.15046590e-08 1.32998372e-08 1.22508308e-08
 1.20575501e-08 1.15170295e-08 1.10206349e-08 7.92079384e-09]"
31,1996\53_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
32,1996\54_main_body.txt,0,"[8.41841091e-01 3.46282012e-03 4.16634614e-03 3.35678755e-03
 3.37543597e-03 4.05627193e-03 4.86521217e-03 3.72015954e-03
 3.91724663e-03 4.20824913e-03 3.50458448e-03 4.03980862e-05]"
33,1997\10_main_body.txt,0,"[9.49487359e-01 2.10310824e-13 2.48021587e-13 2.12317175e-13
 2.13144761e-13 2.63720884e-13 2.69671175e-13 2.37115926e-13
 2.61656873e-13 2.53763789e-13 2.16484001e-13 2.50896252e-15]"
34,1997\11_main_body.txt,0,"[9.99999997e-01 1.03479666e-16 1.17827404e-16 1.10490441e-16
 1.06907521e-16 1.18665561e-16 1.32624544e-16 1.26451819e-16
 1.25202609e-16 1.16772028e-16 1.12466717e-16 6.19873482e-17]"
35,1997\12_main_body.txt,0,"[9.99999997e-01 4.56139412e-12 5.36246287e-12 4.66853158e-12
 4.53822612e-12 5.10412478e-12 6.26945598e-12 5.32446178e-12
 5.25373137e-12 5.27032446e-12 4.87732654e-12 2.73624156e-12]"
36,1997\13_main_body.txt,0,"[9.00368539e-01 9.95773833e-05 1.16050334e-04 9.98826978e-05
 1.00295059e-04 1.18376863e-04 1.33415168e-04 1.09345863e-04
 1.16301629e-04 1.17016248e-04 1.01543567e-04 1.10576940e-06]"
37,1997\14_main_body.txt,0,"[9.99999983e-01 1.11653382e-09 1.33187998e-09 1.10332952e-09
 1.11280959e-09 1.35433585e-09 1.49730465e-09 1.20173152e-09
 1.30511845e-09 1.35196252e-09 1.12650534e-09 3.93301362e-10]"
