,document,topic,distr
22,1996\39_main_body.txt,0,"[3.5843194e-01 1.7753470e-01 2.4819103e-01 4.2989701e-03 4.2564061e-05
 1.5791265e-02 4.2564061e-05 1.0257939e-02 9.0278372e-02 1.7493829e-02
 1.9196391e-02 4.2564061e-05 5.6652766e-02 1.7451264e-03]"
23,1996\40_main_body.txt,0,"[4.4682318e-01 2.7146196e-02 6.4864002e-02 5.3123673e-05 5.3123673e-05
 2.9329577e-01 5.3123673e-05 1.6468337e-03 1.1639397e-01 5.3123673e-05
 5.3123673e-05 9.6153850e-03 3.9895877e-02 5.3123673e-05]"
24,1996\41_main_body.txt,2,"[7.0274636e-02 1.4835757e-01 3.6645129e-01 5.6542810e-03 2.6925150e-04
 4.0656976e-02 1.0796984e-01 2.6925150e-04 1.8066774e-01 7.8352183e-02
 2.6925150e-04 2.6925150e-04 2.6925150e-04 2.6925150e-04]"
25,1996\42_main_body.txt,8,"[5.9969705e-02 5.4461580e-02 1.5216194e-02 1.4458826e-03 5.5769761e-03
 1.3364087e-01 1.5904710e-02 7.5736712e-04 5.1576698e-01 5.5769761e-03
 7.5736712e-04 6.8851557e-05 1.7281741e-02 1.7357478e-01]"
26,1996\43_main_body.txt,0,"[5.0114292e-01 2.5090230e-01 1.1435275e-01 6.0153994e-05 6.0153994e-05
 1.0292348e-01 1.2632338e-03 6.0153994e-05 6.6169392e-04 4.2709336e-03
 1.5700193e-02 6.0153994e-05 8.4817130e-03 6.0153994e-05]"
27,1996\44_main_body.txt,0,"[6.0127944e-01 2.0433174e-01 8.7945119e-02 7.7077231e-05 2.3893940e-03
 3.7844919e-02 7.7077231e-05 7.7077231e-05 3.3991057e-02 7.7077231e-05
 7.7077231e-05 7.7077231e-05 3.1678740e-02 7.7077231e-05]"
28,1996\45_main_body.txt,0,"[3.9873928e-01 1.9006956e-01 1.4473358e-01 4.3783383e-03 8.7256245e-03
 5.9309406e-03 3.1052045e-05 1.9593839e-02 3.0462055e-02 4.0678177e-03
 5.3098998e-03 3.7572975e-03 1.8416966e-01 3.1052045e-05]"
29,1996\47_main_body.txt,2,"[2.7516251e-02 4.9372338e-02 6.3220125e-01 6.1645370e-04 4.4889037e-02
 5.6041248e-05 5.6041248e-05 5.6041248e-05 1.4632370e-01 5.1053572e-02
 1.9110063e-02 2.8581035e-03 2.3593364e-02 2.2976911e-03]"
30,1996\50_main_body.txt,0,"[4.7425634e-01 1.7747100e-01 1.3345338e-01 6.6693341e-05 6.6693341e-05
 6.6693341e-05 6.6693341e-05 6.6693341e-05 1.4679205e-01 6.6693341e-05
 6.6693341e-05 6.6693341e-05 6.7426972e-02 6.6693341e-05]"
31,1996\53_main_body.txt,2,"[1.19709887e-01 2.47495119e-02 5.75818717e-01 3.97039019e-02
 2.31793011e-03 9.04740579e-03 1.57021079e-03 7.47719459e-05
 7.55944327e-02 1.14475854e-01 3.37221473e-02 1.57021079e-03
 7.47719459e-05 1.57021079e-03]"
32,1996\54_main_body.txt,13,"[2.1696763e-01 6.6615283e-03 7.4928433e-02 5.5053952e-05 5.5053952e-05
 1.4759965e-01 6.0559349e-04 2.2572121e-03 1.1561329e-03 1.4044264e-01
 1.4099318e-01 5.5053952e-05 3.6941200e-02 2.3128165e-01]"
33,1997\10_main_body.txt,2,"[1.4167243e-02 7.9820320e-02 5.3248101e-01 3.4554250e-04 3.4554250e-04
 2.1078093e-02 3.8009677e-03 3.4554250e-04 9.3642019e-02 2.4913615e-01
 3.4554250e-04 3.8009677e-03 3.4554250e-04 3.4554250e-04]"
34,1997\11_main_body.txt,0,"[4.5421433e-01 1.3163371e-01 1.6731083e-01 7.4327334e-05 1.5608739e-03
 7.4327334e-05 2.3041475e-03 6.0205143e-03 1.5318865e-01 7.4327334e-05
 1.5608739e-03 7.4327334e-05 8.1834398e-02 7.4327334e-05]"
35,1997\12_main_body.txt,12,"[1.3129959e-01 1.3129959e-01 1.0096827e-01 1.7557163e-02 5.8329446e-05
 5.8329446e-05 5.8329446e-05 9.3385443e-02 1.9429538e-01 4.1413903e-03
 5.8329446e-05 4.7246851e-03 3.1562060e-01 6.4745685e-03]"
36,1997\13_main_body.txt,2,"[1.3331981e-01 1.8330628e-02 5.5336851e-01 6.7640693e-05 2.7732684e-03
 2.9153137e-02 6.7640693e-05 6.7640693e-05 1.2114448e-01 1.2520292e-01
 8.1845243e-03 1.4204545e-03 6.8317102e-03 6.7640693e-05]"
37,1997\14_main_body.txt,2,"[0.00097656 0.00097656 0.36230466 0.06933594 0.03027344 0.00097656
 0.00097656 0.04980469 0.21582031 0.02050781 0.00097656 0.00097656
 0.01074219 0.23535156]"
38,1997\15_main_body.txt,2,"[7.1053008e-05 5.7552936e-03 4.0294158e-01 7.1053008e-05 7.1053008e-05
 1.7123774e-02 3.9150205e-02 7.1053008e-05 2.2957227e-01 1.9965895e-02
 7.1053008e-05 7.1053008e-05 1.9965895e-02 2.6509875e-01]"
39,1997\16_main_body.txt,9,"[8.3093449e-02 1.8661426e-01 1.8439992e-01 9.1397256e-02 5.5358723e-05
 5.5358723e-05 5.5358723e-05 5.5358723e-05 1.2239814e-01 2.1152569e-01
 5.5358723e-05 7.8055803e-03 7.5896814e-02 3.6592115e-02]"
40,1997\18_main_body.txt,0,"[4.5254043e-01 1.8585692e-01 4.5563698e-02 6.3195148e-05 3.3556622e-02
 9.5424671e-03 1.8389788e-02 6.9514662e-04 1.5109959e-01 6.3195148e-05
 6.3195148e-05 6.3195148e-05 8.1584938e-02 2.0917593e-02]"
41,1997\19_main_body.txt,2,"[3.13087046e-04 6.57482771e-03 3.88541013e-01 3.13087046e-04
 1.59674399e-02 3.44395754e-03 3.13087046e-04 3.13087046e-04
 1.06762677e-01 3.41577947e-01 3.13087046e-04 3.13087046e-04
 1.09893546e-01 2.53600515e-02]"
42,1997\20_main_body.txt,1,"[1.0589449e-01 3.1051886e-01 1.9870821e-01 5.4277029e-05 5.4277029e-05
 1.1398175e-03 5.9704733e-04 6.1387319e-02 1.5582936e-01 5.4277029e-05
 4.9446374e-02 1.4709075e-02 9.6124619e-02 5.4819803e-03]"
43,1997\21_main_body.txt,0,"[3.7286124e-01 1.6922692e-02 4.5023102e-02 6.2445361e-05 8.8047963e-03
 1.1927064e-02 6.2445361e-05 6.8689894e-04 1.9052079e-01 1.8796053e-02
 1.0678156e-02 5.8761083e-02 1.3556887e-01 1.2932435e-01]"
44,1997\22_main_body.txt,1,"[6.56081960e-02 4.46152538e-01 1.31132394e-01 1.60534278e-01
 5.12432773e-03 8.40053763e-05 8.40053763e-05 1.52049735e-02
 4.46068533e-02 4.28427383e-03 8.40053763e-05 9.24059132e-04
 8.99697542e-02 3.62063162e-02]"
45,1997\23_main_body.txt,0,"[5.6933969e-01 4.4233952e-02 1.8484458e-02 9.1962480e-05 9.1962480e-05
 1.8861504e-01 9.1962480e-05 9.1962480e-05 3.2278828e-02 1.5725585e-02
 9.1962480e-05 9.1962480e-05 6.2626444e-02 6.8144195e-02]"
46,1997\24_main_body.txt,0,"[3.4060851e-01 6.8658650e-02 1.0594611e-01 4.9716615e-05 4.9716615e-05
 1.1588943e-01 2.6399521e-02 4.9716615e-05 2.8592023e-01 5.4688280e-04
 4.5242123e-03 4.9716615e-05 2.5405189e-02 2.5902355e-02]"
47,1997\25_main_body.txt,0,"[5.2021861e-01 6.4652640e-04 1.1226050e-02 5.8775127e-05 6.4652640e-04
 1.5816386e-01 6.4652640e-04 5.8775127e-05 8.5870460e-02 2.9975313e-03
 2.4097802e-03 3.0034088e-02 1.4875984e-01 3.8262606e-02]"
48,1997\26_main_body.txt,2,"[3.2688597e-01 4.9882125e-02 3.4510285e-01 6.4830692e-03 5.3579082e-05
 1.8270466e-02 5.3579082e-05 5.3579082e-05 2.4383840e-01 5.3579082e-05
 5.3579082e-05 5.8936991e-04 8.6262329e-03 5.3579082e-05]"
49,1997\28_main_body.txt,8,"[1.9965276e-02 5.1062092e-05 3.3752043e-02 4.6466505e-03 5.1062092e-05
 2.6092727e-02 5.1062092e-05 5.1062092e-05 6.8070871e-01 5.6168303e-04
 1.5880311e-02 2.0935456e-03 5.1062092e-05 2.1604371e-01]"
50,1997\29_main_body.txt,0,"[4.4123957e-01 2.1213077e-01 1.1240848e-01 6.3115374e-05 3.2188841e-03
 1.0546579e-01 6.3115374e-05 6.3115374e-05 1.2440041e-01 6.3115374e-05
 6.3115374e-05 6.3115374e-05 6.9426914e-04 6.3115374e-05]"
51,1997\30_main_body.txt,5,"[1.6979834e-01 7.8139320e-02 8.7305225e-02 2.0852430e-02 2.2914758e-04
 2.5000000e-01 2.2914758e-04 2.2914758e-04 2.0852430e-02 5.0641615e-02
 2.2914758e-04 2.2914758e-04 1.2626031e-01 1.9500458e-01]"
52,1997\31_main_body.txt,0,"[4.6928787e-01 1.3027588e-02 9.9681683e-02 5.8948361e-05 5.8948361e-05
 2.8419006e-01 5.8948361e-05 2.4168827e-03 5.8948361e-05 5.3112473e-02
 5.8948361e-05 7.7222353e-03 6.5491624e-02 4.7748173e-03]"
53,1998\0_main_body.txt,1,"[2.6664400e-02 3.0293250e-01 1.4385191e-01 5.6612320e-05 1.3077445e-02
 2.6664400e-02 1.7549818e-03 1.2913270e-01 1.7951767e-01 1.9304799e-02
 7.7615492e-02 5.6612320e-05 3.5156250e-02 4.4214219e-02]"
54,1998\10_main_body.txt,2,"[2.6082422e-04 1.5910277e-02 4.6191970e-01 2.6082422e-04 2.6082422e-04
 2.6082422e-04 2.6082422e-04 2.6082422e-04 1.3328117e-01 2.3761085e-01
 2.6082422e-04 5.4773083e-03 2.3735004e-02 1.2023996e-01]"
55,1998\11_main_body.txt,2,"[5.6356243e-03 7.4002214e-02 2.9480782e-01 2.1341464e-02 9.2387287e-05
 8.7860309e-02 9.2387287e-05 1.0162601e-03 2.2089800e-01 7.4926086e-02
 5.4600883e-02 9.2387287e-05 1.3774945e-01 2.6884701e-02]"
56,1998\12_main_body.txt,2,"[3.6553111e-02 7.8343213e-02 3.8356960e-01 5.2898857e-05 3.7558188e-03
 2.1693821e-01 2.6978417e-03 5.7183664e-02 1.3653195e-01 5.2898857e-05
 5.9828606e-02 5.2898857e-05 1.6980533e-02 7.4587390e-03]"
57,1998\13_main_body.txt,2,"[4.6563733e-02 1.1101538e-01 4.1224927e-01 3.8257395e-03 8.3063357e-03
 1.0684497e-03 3.4466120e-05 2.2406425e-01 1.0687944e-01 8.9956578e-03
 4.2083133e-02 1.0374303e-02 2.4505412e-02 3.4466120e-05]"
58,1998\14_main_body.txt,2,"[1.0006004e-04 1.7220332e-01 5.0840503e-01 1.0006004e-04 1.0006004e-04
 6.8140879e-02 1.0006004e-04 1.0006004e-04 1.4918952e-01 4.0124074e-02
 1.1106664e-02 2.5115069e-02 2.1112667e-02 4.1024615e-03]"
59,1998\15_main_body.txt,2,"[7.8839190e-02 7.3896446e-03 7.6397181e-01 4.8938044e-05 1.1794069e-02
 2.4958402e-03 4.8938044e-05 4.8938044e-05 7.8839190e-02 2.8433003e-02
 2.2071058e-02 3.4746011e-03 4.8938044e-05 2.4958402e-03]"
60,1998\17_main_body.txt,8,"[1.7515348e-02 1.8719152e-02 2.2998676e-01 6.0190199e-05 6.0190199e-05
 6.0792104e-03 6.0190199e-05 1.8658962e-03 2.6309136e-01 2.1855062e-01
 3.1359095e-02 6.0190199e-05 1.5107741e-02 1.9748405e-01]"
61,1998\18_main_body.txt,13,"[1.4640884e-01 4.8603851e-02 7.7721365e-02 7.4660296e-05 7.4660296e-05
 1.9486338e-02 7.4660296e-05 7.4660296e-05 1.2177095e-01 1.2475736e-01
 1.0609228e-01 7.4660296e-05 2.3144691e-03 3.5247126e-01]"
62,1998\19_main_body.txt,0,"[2.7110326e-01 2.3184139e-01 6.4978406e-02 1.5901061e-02 1.9630938e-04
 1.9630938e-04 1.9630938e-04 3.3568908e-02 3.3568908e-02 6.3015312e-02
 1.9630938e-04 1.9630938e-04 1.5528072e-01 1.2976050e-01]"
63,1998\1_main_body.txt,1,"[0.00080386 0.5393891  0.16157557 0.04903537 0.00080386 0.15353698
 0.00080386 0.02491961 0.02491961 0.00080386 0.00080386 0.00080386
 0.04099678 0.00080386]"
64,1998\20_main_body.txt,0,"[5.38064182e-01 3.98124568e-02 3.34551781e-02 7.94659863e-05
 7.94659863e-05 1.05769232e-01 8.82072467e-03 1.35886837e-02
 6.92148730e-02 6.84202164e-02 7.94659863e-05 7.94659863e-05
 1.22457094e-01 7.94659863e-05]"
65,1998\22_main_body.txt,13,"[8.4089793e-02 6.1334642e-05 2.7661921e-02 6.1334642e-05 6.1334642e-05
 8.7156527e-02 6.1334642e-05 6.1334642e-05 1.6014475e-01 6.1334642e-05
 7.1209520e-02 1.4781648e-02 4.9129046e-02 5.0545877e-01]"
66,1998\23_main_body.txt,2,"[1.7556874e-02 3.7339270e-02 3.9094958e-01 2.4727994e-04 3.7339270e-02
 5.1928782e-03 2.7200792e-03 2.4727994e-04 1.1152324e-01 2.3516321e-01
 6.4540058e-02 2.4727994e-04 2.4727994e-04 9.6686445e-02]"
67,1998\24_main_body.txt,1,"[1.4066194e-01 2.9868111e-01 1.0706732e-01 6.2212268e-05 6.2212268e-05
 1.5559289e-01 8.2804531e-02 3.7949483e-03 7.5276848e-03 2.4947118e-02
 5.1698394e-02 6.2212268e-05 1.2199826e-01 5.0391937e-03]"
68,1998\25_main_body.txt,0,"[6.4377779e-01 2.6162343e-02 7.9868034e-02 7.6722419e-05 3.9128433e-03
 2.6162343e-02 7.6722419e-05 1.6111707e-03 1.5275434e-01 7.6722419e-05
 7.6722419e-05 8.4394659e-04 6.1454654e-02 3.1456191e-03]"
69,1998\26_main_body.txt,2,"[2.62210965e-01 1.02077410e-01 3.38877201e-01 1.21862248e-01
 1.30456286e-02 6.18276244e-05 6.18276244e-05 6.18276244e-05
 1.55187342e-02 1.30456286e-02 6.18276244e-05 6.80103898e-04
 1.21243976e-01 1.11908000e-02]"
70,1998\27_main_body.txt,0,"[4.8456693e-01 9.7589061e-02 8.4536240e-02 7.6781325e-05 7.6781325e-05
 6.3805282e-02 1.1593981e-02 7.6781325e-05 1.2983723e-01 6.2192879e-03
 4.6836608e-03 7.6781325e-05 5.3055894e-02 6.3805282e-02]"
71,1998\28_main_body.txt,2,"[1.5174727e-01 6.0578752e-03 6.0133171e-01 5.0065086e-05 1.0513667e-03
 4.8613194e-02 5.0065086e-05 1.0513667e-03 1.9575447e-02 1.5625313e-01
 5.0065086e-05 2.0526685e-03 3.5546210e-03 8.5611297e-03]"
72,1998\29_main_body.txt,0,"[6.5925068e-01 8.5201055e-02 6.5974511e-02 1.1535926e-03 5.4932982e-05
 6.0426281e-04 5.4932982e-05 5.4932982e-05 1.0277961e-01 3.3509119e-03
 5.4932982e-05 1.1535926e-03 6.8721160e-02 1.1590859e-02]"
73,1998\2_main_body.txt,7,"[1.0715672e-02 2.2502911e-01 6.7930572e-02 4.8487203e-05 4.8487203e-05
 3.3989526e-02 5.3335924e-04 3.1618503e-01 2.0951320e-01 5.3335924e-04
 3.7383631e-02 4.8487203e-05 9.4113663e-02 3.9274637e-03]"
74,1998\30_main_body.txt,0,"[6.2297678e-01 1.7593244e-04 3.6945809e-03 1.7593244e-04 1.7593244e-04
 1.5851513e-01 1.9352569e-03 3.0084446e-02 1.0221674e-01 3.3603095e-02
 4.0640391e-02 1.7593244e-04 5.4539051e-03 1.7593244e-04]"
